location,coordinate,pinyin
"['札幌', '登別', '富良野']","[(141.3509218, 43.0686365), (141.1808029, 42.4520087), (142.3916593, 43.3469008)]","['zha_huang', 'deng_bie', 'fu_liang_ye']"
"['札幌', '砂川', '中富良野', '美瑛']","[(141.3509218, 43.0686365), (141.9093041, 43.4928947), (142.420629, 43.405397), (142.4612251, 43.5909601)]","['zha_huang', 'sha_chuan', 'zhong_fu_liang_ye', 'mei_ying']"
"['旭川', '旭岳', '美瑛', '富良野']","[(142.3579263, 43.7627501), (142.8541052, 43.663586), (142.4612251, 43.5909601), (142.3916593, 43.3469008)]","['xu_chuan', 'xu_yue', 'mei_ying', 'fu_liang_ye']"
"['札幌', '支笏湖', '洞爺湖', '昭和新山']","[(141.39388061344943, 43.169835000000006), (141.3275268775211, 42.7538546), (140.89569112064035, 42.6019661), (140.8597085, 42.5392685)]","['zha_huang', 'zhi_hu_hu', 'dong_ye_hu', 'zhao_he_xin_shan']"
"['札幌', '小樽', '洞爺湖']","[(141.3509218, 43.0686365), (140.9933209, 43.1975603), (140.89569112064035, 42.6019661)]","['zha_huang', 'xiao_zun', 'dong_ye_hu']"
"['摩周湖', '屈斜路湖', '阿寒湖']","[(144.51704170062573, 43.5789373), (144.31053063330174, 43.61656955), (144.09924305383902, 43.455953199999996)]","['mo_zhou_hu', 'qu_xie_lu_hu', 'a_han_hu']"
"['札幌市', '圓山公園', '北大植物園']","[(141.3542924, 43.061936), (141.3194466, 43.0557606), (141.3423347786396, 43.063774949999996)]","['zha_huang_shi', 'yuan_shan_gong_yuan', 'bei_da_zhi_wu_yuan']"
"['札幌', '小樽', '洞爺湖']","[(141.3509218, 43.0686365), (140.9933209, 43.1975603), (140.89569112064035, 42.6019661)]","['zha_huang', 'xiao_zun', 'dong_ye_hu']"
"['北海道', '函館']","[(116.38206625676122, 39.92626025), (140.7261884, 41.7737872)]","['bei_hai_dao', 'han_guan']"
"['札幌', '南富良野', '美瑛', '函館']","[(141.3509218, 43.0686365), (142.5711288, 43.1702811), (142.4612251, 43.5909601), (140.7261884, 41.7737872)]","['zha_huang', 'nan_fu_liang_ye', 'mei_ying', 'han_guan']"
"['新千歲機場', '帶廣市', '釧路市', '阿寒湖']","[(141.6808693, 42.7878079), (143.1966324, 42.923809), (144.3820491, 42.9849503), (144.09924305383902, 43.455953199999996)]","['xin_qian_sui_ji_chang', 'dai_guang_shi', 'chuan_lu_shi', 'a_han_hu']"
"['釧路', '細岡', '塘路']","[(144.3820381, 42.9906837), (144.469555, 43.1050537), (144.4972153, 43.1517934)]","['chuan_lu', 'xi_gang', 'tang_lu']"
"['函館', '大沼公園', '札幌', '洞爺湖']","[(140.75466729199326, 41.79337185), (140.6700799, 41.98085), (141.39388061344943, 43.169835000000006), (140.89569112064035, 42.6019661)]","['han_guan', 'da_zhao_gong_yuan', 'zha_huang', 'dong_ye_hu']"
